lat,lng
39.827798,-104.990788
39.827788,-104.991410
39.827772,-104.992033
39.827793,-104.992679
39.827810,-104.993323
39.827826,-104.993967
39.827880,-104.994635
39.827946,-104.995322
39.828087,-104.995935
39.828219,-104.996536
39.828398,-104.997112
39.828570,-104.997728
39.828751,-104.998350
39.828933,-104.998973
39.829104,-104.999595
39.829279,-105.000217
39.829460,-105.000839
39.829641,-105.001462
39.829794,-105.002084
39.829942,-105.002706
39.830091,-105.003328
39.830267,-105.003963
39.830458,-105.004438
39.830602,-105.004996
39.830778,-105.005578
39.830959,-105.006204
39.831141,-105.006826
39.831322,-105.007448
39.831503,-105.008071
39.831684,-105.008693
39.831866,-105.009315
39.832047,-105.009937
39.832228,-105.010560
39.832409,-105.011182
39.832591,-105.011804
39.832763,-105.012365
39.832927,-105.012923
39.833092,-105.013481
39.833257,-105.014039
39.833422,-105.014597
39.833586,-105.015155
39.833742,-105.015749
39.833890,-105.016350
39.834067,-105.016963
39.834276,-105.017576
39.834490,-105.018199
39.834705,-105.018821
39.834891,-105.019468
39.835072,-105.020111
39.835253,-105.020755
39.835434,-105.021399
39.835615,-105.022043
39.835797,-105.022686
39.835978,-105.023330
39.836122,-105.023949
39.836270,-105.024572
39.836418,-105.025194
39.836566,-105.025816
39.836752,-105.026451
39.836934,-105.027097
39.837115,-105.027741
39.837296,-105.028385
39.837477,-105.029029
39.837659,-105.029672
39.837840,-105.030316
39.838021,-105.030960
39.838202,-105.031604
39.838412,-105.032272
39.838635,-105.032946
39.838897,-105.033599
39.839198,-105.034292
39.839511,-105.035000
39.839824,-105.035708
39.840212,-105.036404
39.840648,-105.037078
39.841093,-105.037765
39.841547,-105.038452
39.842048,-105.039065
39.842559,-105.039666
39.843070,-105.040266
39.843599,-105.040781
39.844127,-105.041296
39.844654,-105.041811
39.845172,-105.042351
39.845682,-105.042887
39.846193,-105.043424
39.846713,-105.043960
39.847240,-105.044497
39.847767,-105.045033
39.848295,-105.045569
39.848822,-105.046106
39.849349,-105.046642
39.849876,-105.047179
39.850403,-105.047715
39.850930,-105.048252
39.851458,-105.048788
39.851985,-105.049325
39.852540,-105.049836
39.852524,-105.049832
39.853114,-105.050302
39.853707,-105.050774
39.854300,-105.051247
39.854893,-105.051719
39.855505,-105.052105
39.856115,-105.052491
39.856715,-105.052890
39.857202,-105.053300
39.857623,-105.053570
39.858089,-105.053828
39.858578,-105.054073
39.859072,-105.054330
39.859614,-105.054551
39.860449,-105.054925
39.861167,-105.055278
39.861913,-105.055630
39.862654,-105.055973
39.863423,-105.056317
39.864197,-105.056660
39.864971,-105.057003
39.865745,-105.057347
39.866519,-105.057751
39.867303,-105.058134
39.868093,-105.058521
39.868884,-105.058821
39.869674,-105.059171
39.870456,-105.059526
39.871230,-105.059940
39.871994,-105.060458
39.872768,-105.060973
39.873533,-105.061549
39.874290,-105.062129
39.875048,-105.062696
39.875805,-105.063241
39.876563,-105.063799
39.877320,-105.064357
39.878078,-105.064915
39.878835,-105.065473
39.879593,-105.066031
39.880350,-105.066589
39.881108,-105.067147
39.881865,-105.067705
39.882623,-105.068262
39.883380,-105.068820
39.884137,-105.069378
39.884895,-105.069936
39.885652,-105.070494
39.886400,-105.071052
39.887461,-105.071831
39.888032,-105.072272
39.888675,-105.072735
39.889317,-105.073185
39.889959,-105.073636
39.890601,-105.074123
39.891243,-105.074617
39.891885,-105.075111
39.892527,-105.075604
39.893254,-105.076085
39.893978,-105.076557
39.894693,-105.077079
39.895401,-105.077554
39.896109,-105.077964
39.896817,-105.078372
39.897544,-105.078755
39.898268,-105.079142
39.898973,-105.079614
39.899681,-105.080061
39.900389,-105.080512
39.901088,-105.080987
39.901795,-105.081459
39.902503,-105.081931
39.903202,-105.082452
39.903893,-105.082967
39.904584,-105.083482
39.905294,-105.083997
39.906049,-105.084488
39.906825,-105.084981
39.907599,-105.085499
39.908372,-105.086014
39.909146,-105.086627
39.909901,-105.087139
39.910658,-105.087654
39.911095,-105.087961
39.911728,-105.088445
39.912344,-105.088929
39.912925,-105.089435
39.913489,-105.089950
39.913973,-105.090465
39.914385,-105.090992
39.914796,-105.091507
39.915208,-105.092022
39.915619,-105.092537
39.915983,-105.093163
39.916362,-105.093785
39.916787,-105.094554
39.917152,-105.095278
39.917483,-105.095983
39.917813,-105.096691
39.918142,-105.097399
39.918471,-105.098107
39.918800,-105.098815
39.919129,-105.099523
39.919458,-105.100231
39.919787,-105.100939
39.920117,-105.101648
39.920436,-105.102392
39.920749,-105.103122
39.921080,-105.103888
39.921419,-105.104624
39.921793,-105.105378
39.922171,-105.106151
39.922550,-105.106984
39.922909,-105.107788
39.923255,-105.108603
39.923629,-105.109271
39.924007,-105.109887
39.924376,-105.110510
39.924792,-105.111071
39.925204,-105.111628
39.925615,-105.112186
39.926017,-105.112695
39.926487,-105.113259
39.926965,-105.113817
39.927376,-105.114363
39.927787,-105.114899
39.928199,-105.115436
39.928610,-105.115972
39.929021,-105.116509
39.929433,-105.117045
39.929854,-105.117581
39.930274,-105.118118
39.930702,-105.118654
39.931177,-105.119301
39.931569,-105.119933
39.931983,-105.120650
39.932216,-105.121100
39.932578,-105.121980
39.932996,-105.122811
39.933408,-105.123648
39.933838,-105.124570
39.934273,-105.125542
39.934700,-105.126508
39.935185,-105.127584
39.935662,-105.128657
39.936139,-105.129730
39.936616,-105.130802
39.937102,-105.131888
39.937624,-105.132982
39.938076,-105.134015
39.938520,-105.135045
39.938517,-105.135040
39.938983,-105.136026
39.939481,-105.137013
39.940038,-105.137890
39.940581,-105.138769
39.941124,-105.139649
39.941676,-105.140418
39.942198,-105.141203
39.942724,-105.141976
39.943223,-105.142773
39.943716,-105.143567
39.944210,-105.144324
39.944703,-105.145096
39.945197,-105.145869
39.945690,-105.146641
39.946203,-105.147401
39.946703,-105.148238
39.947251,-105.149038
39.947784,-105.149857
39.948311,-105.150672
39.948856,-105.151475
39.949427,-105.152291
39.949974,-105.153020
39.950517,-105.153750
39.951098,-105.154455
39.951690,-105.155188
39.952254,-105.155917
39.952813,-105.156647
39.953372,-105.157376
39.953931,-105.158106
39.954491,-105.158835
39.955050,-105.159565
39.955553,-105.160343
39.956053,-105.161128
39.956547,-105.161922
39.956890,-105.162765
39.957235,-105.163602
39.957581,-105.164439
39.957898,-105.165202
39.958201,-105.166060
39.958513,-105.166919
39.958835,-105.167777
39.959176,-105.168611
39.959521,-105.169426
39.959867,-105.170242
39.960212,-105.171069
39.960492,-105.171894
39.960781,-105.172721
39.961098,-105.173571
39.961446,-105.174429
39.961791,-105.175287
39.962136,-105.176158
39.962454,-105.177016
39.962794,-105.177899
39.963140,-105.178779
39.963485,-105.179658
39.963830,-105.180538
39.964176,-105.181418
39.964502,-105.182298
39.964831,-105.183178
39.965179,-105.184070
39.965543,-105.184971
39.965924,-105.185872
39.966293,-105.186835
39.966662,-105.187800
39.967014,-105.188766
39.967359,-105.189731
39.967770,-105.190672
39.968182,-105.191616
39.968536,-105.192548
39.968889,-105.193471
39.969234,-105.194394
39.969579,-105.195316
39.969925,-105.196239
39.970279,-105.197162
39.970660,-105.198084
39.971038,-105.199007
39.971398,-105.199979
39.971759,-105.200944
39.972149,-105.201910
39.972544,-105.202876
39.972920,-105.203841
39.973242,-105.204746
39.973582,-105.205647
39.973928,-105.206548
39.974273,-105.207449
39.974665,-105.208289
39.975013,-105.209135
39.975358,-105.209935
39.975704,-105.210717
39.976077,-105.211450
39.976352,-105.212044
39.976831,-105.213050
39.976998,-105.213583
39.977263,-105.214095
39.977526,-105.214610
39.977790,-105.215174
39.978006,-105.215707
39.978248,-105.216268
39.978532,-105.216838
39.978811,-105.217418
39.979091,-105.217997
39.979352,-105.218589
39.979652,-105.219202
39.979920,-105.219790
39.980183,-105.220391
39.980446,-105.221004
39.980709,-105.221605
39.980982,-105.222218
39.981308,-105.222853
39.981646,-105.223475
39.981806,-105.223913
39.982027,-105.224438
39.982307,-105.225002
39.982595,-105.225609
39.982891,-105.226231
39.983159,-105.226841
39.983422,-105.227442
39.983723,-105.228079
39.983960,-105.228625
