lat,lng,Express  Lane Name
39.835657,-105.022941,Lowell (West Bound)
39.842883,-105.040233,Lowell (West Bound)
39.849372,-105.04686,Sheridan (West Bound)
39.871766,-105.060428,Sheridan (West Bound)
39.878971,-105.065705,Promenade (West Bound)
39.895778,-105.077872,Promenade (West Bound)
39.903146,-105.082553,Wadsworth (West Bound)
39.919779,-105.101307,Wadsworth (West Bound)
39.924028,-105.110172,Interlocken (West Bound)
39.946555,-105.148175,Interlocken (West Bound)
39.949538,-105.152622,McCaslin (West Bound)
39.963979,-105.181255,McCaslin (West Bound)
39.967564,-105.190471,Overlook (West Bound)
39.977394,-105.214607,Overlook (West Bound)
